,sentimen,tweet,clean_tweet
26,0,nanti malam ada undangan opening di hungerbelt spazio temani aku laaaahhh siiisssss ,malam undang opening hungerbelt spazio teman laaaahhh siiisssss
27,-1,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu ,nak rasa korang simpan duit tabung ana makan duit tu
28,1,tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya ,tak peduli hidup pilih sisi baik sisi buruk
29,1,aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha ,dah nak pengantin gelak natural hahahahahahahahahahaha
30,0,aku tambah lagi ia,
31,1,cara nak mintak maaf ada 3 1 aku minta maaf 2 aku mengaku salah aku 3 apa yang boleh aku buat untuk betulkan ba ,nak mintak maaf maaf aku salah betul ba
32,0,sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan ,ramai sifu property approach utk join kelas investment etcemua cerita beli rumah murah sewa
33,-1,kalo gebetan kamu ngga pernah buang ludah di jalan pacarin ,kalo gebetan ngga buang ludah jalan pacarin
34,-1,jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil ,susah senang panggil
35,1,yuk netweetjen dibantu,yuk netweetjen bantu
36,1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka ,allah tuhan lindung bapa saat jauh
37,0,lecturer aku suruh tampal note kat tempat yang aku selalu tengok takkan aku nak tampal kat muka crush pulak,lecturer suruh tampal note kat tengok tak nak tampal kat muka crush pulak
38,0,20thn aku pengen nikah umur 23 sm orang yang gini gini gini 23thn blm ada yg nglamar 24thn si ,thn nikah umur sm orang gin gin gin thn blm nglamar thn
39,0,terdengar perbualan budak sekolah aku nk amik a level aku nk amik asasi asasi lagi ok dari matrik kan aa ,dengar bual budak sekolah nk amik a level nk amik asasi asasi ok matrik aa
40,0,cara outin diri sendiri gimana sih yang bisa outin aku aku bayar deh g ,outin gimana outin bayar deh g
41,1,giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo ,giveaway umur tambah rules ucap wish screenshoo
42,1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka ,allah tuhan lindung bapa saat jauh
43,1,selamat hari jumat buat kamu yg selalu bikin rindu ini kumat ,selamat bikin rindu kumat
44,-1,kesian belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t ,sian laki and girl goes like tak attention gf camtuh men are t
45,1,diremes di enyot ngedusel dusel di nenen kamu wah mantap,diremes enyot ngedusel dusel nenen mantap
46,0,mana gampaang aku nanya dulu tauu ,gampaang tauu
47,-1,idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe ,idm hallo ami tolobg bantu huhu album ku ga sampe sampe
48,-1,takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian,takde gf takpe imaginary gf also can lepastu gila
49,1,hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e ,hi rakyat ku akhirnyauga postelca give away album love yourself answerealed versionnya pilihendiri e
50,0,makan tido makan tido hari ni aku mereput je la kat rumah hadap diorang ni haih ,makan tido makan tido ni reput je la kat rumah hadap orang ni haih
51,-1,10 tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pastu post gambar dia tetib ,bestfriend but gaduh sikit tak tegur malam koyak sikit pastu post gambar tetib
52,0,threado as promised aku nk citer pengalaman aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s ,threado as promised nk citer alam ambik teh kurus pil kurus it was mcm tuince everyone was s
53,0,makanya tadi aku kaget lihat teman kabar nya udah menikah dalam hati kamu kapan taarufnya kok sampai ga tercium kabarnya ,kaget lihat teman kabar nikah hati taaruf ga cium kabar
54,-1,pacar kamu sibuk ya kok tumben komen wassap story aku ,pacar sibuk tumben komen wassap story
55,-1,kucin datang bawah meja mintak makanan kau bagi lah apa yang ada jangan sepak2 pulak dia tak datang seekor dia datang ber ,kucin meja mintak makan sepak pulak tak ekor ber
56,-1,lepaskanlah dia tidak mau kamuadarlah jangan membatu ,lepas kamuadarlah batu
57,-1,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu ,nak rasa korang simpan duit tabung ana makan duit tu
58,-1,tolong sebelum kau nak kacau orang yg aku sayang kau fikir dulu mcm mana perasaan kau bila ada orang kacau buah hati kau,tolong nak kacau orang sayang fikir mcm rasa orang kacau buah hati
59,-1,biasalah tu perempuan kena berjaga jaga muka malaikat pun kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk ,biasa tu perempuan kena jaga jaga muka malaikat perangai syaitan jugak gak camni lari laju teruk
60,1,pilih salah satu yang paling kamu nyaman,pilih salah nyaman
61,1,aku sendiri jugaaa yuk barengan,jugaaa yuk bareng
62,-1,aku benci soalan bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kire,benci soal bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu lak kena kire
63,0,aku juga dong mbaknya link kalo jepang main ,mbak link kalo jepang main
64,-1,24 8 18 birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot 26 8 18 dia ajak per ,birthday abang ajak pergi makan tolak kerja lambat nak ot ajak
65,1,mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa diundi j ,mini giveaway hubung ultah rezeki pulsa k like mutualan bgt doain yaa undi j
66,1,mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego ,mantan brengsek dilupain jadi ingat salah pilih bego bego
67,1,aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal ,aryana tolong bukak mata besar besar pilih syafiq biar sofea bahagia adrian pls laaaaaaaa murung kal
68,0,hyung kamu kanibal kan ' ' ,hyung kanibal
69,1,buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak,buat cita cita bintang langit lupa anak tangga rencana cendekiabijak
70,-1,kamu ga laku laku unn ,ga laku laku unn
71,-1,aku try untuk lupakan benda tu tapi akhirnya benda tu buat aku jadi down ya allah tlg laa hilangkan kekecewaan yg ada ,try lupa benda tu benda tu down allah tlg laa hilang kecewa
72,0,jajanin aku kak ,jajanin kak
73,-1,iyaaaa kasian donghae nya aku kelelep ,iyaaaa kasi donghae lelep
74,0,ini tiga aku satu aja gapunya ' ,gapunya
75,0,hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee ,hi adain give away nih give away album bts love yourself answers yey follow retwee
76,1,cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm ,cantik la confess kat crush peluang kena reject tu nipis sel epidermis bawang je tang ni confess hmm
77,0,'aku di rumah aja' adalah anagram dari 'besok malam minggu',rumah anagram besok malam
78,0,jumat malam bersama 2 kawan di dalam mobil menuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k ,malam kawan mobil sebwah apartemen diurabaya barat b gaes sorry a k
79,-1,aku juga pernah dah kek gitu 2x gaada hasil percumaa,dah kek x gaada hasil percumaa
80,-1,ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana ,ku introvert karna nga uang males
81,1,cnta kmu ke aku tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk aku,cnta kmu tuh kyk fto albm tau g dbalk ttp aj g brbh sma ky g prnh brbh untk mnjdi trbaik untk
82,1,ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau ,indonesia damai pimpin
83,-1,aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii ,fakap nak pergi makan ramai nak happy tetibe badmood woiiii nak makan je woiii
84,-1,kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg ,awek bising nothing is wrong once awek dah senyap everything is wrong perhaps dah someone
85,-1,pernah dan abis itu aku ga berani bawa motor selama beberapa hari dan pas mau bawa motor lagi gemeteran gitu,abis ga berani bawa motor bawa motor gemeteran
86,1,aku nk walk in ajelah senang,nk walk in ajelah senang
87,1,jadilah seperti aku,
88,1,sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat ,sentiasa ingat tunjuk gembira orang kecewa moga sentiasa
89,0,aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo mengubah sosyeti a ,nang kampus ngopi ketemu wong podo kabeh takok e lapo ubah sosyeti a
90,-1,gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp ,gipewei sedih nih seokjin rt fllw rep pict seokjin tag klo doain gpp ga gpp
91,1,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb ,temen temen jatinangor tolong beli jual bapak jual kain lap keset
92,1,hahaa aku juga ga ngerti tadi tp asal jwb aja,hahaa ga ngerti tp jwb
93,1,kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men ,kelak orangtua laku anak nak percaya ayah tidur siang men
94,-1,yang apa kamu mengabulkan doa ku untuk klosdonecepatnya okey kalo itu mau kamu ,kabul doa ku klosdonecepatnya okey kalo
95,1,aku terhibur hahahahahahahahahahahaha,hibur hahahahahahahahahahahaha
96,0,kamu juga kan ,
97,0,x de adab betul budak ni pinjam buku aku ,x de adab budak ni pinjam buku
98,1,okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber ,okay but the bahasa melayu names for our malaysian birds mudah hibur burung rek ber
99,-1,makin lama rasa apebende laa aku melalut ni i better stop ,apebende laa melalut ni i better stop
100,1,iya lucu emang dia aku temenan di ig,lucu temenan ig
101,-1,dear makhluk hidup disekitarku kalo mau tau tanyain lgsung ke aku aja gausah lewat orang lain lumayan kan gak ,dear makhluk hidup sekitar kalo tau tanyain lgsung gausah orang lumayan gak
102,-1,member aku ade cite kat aku yang dibreak up dgn gf die time dia cerita suddenly dia menangis weyh 5 tahun bersama kot ,member ade cite kat dibreak up dgn gf die time cerita suddenly tangis weyh kot
103,-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,hati kecewa sedih sorang je orang tak
104,0,kenapa popular weh sorry aku blur x paham mksd hg ,popular weh sorry blur x paham mksd hg
105,1,lhaa kaann ancene aku arek e kurang pinter wayah e aku koncoan terus yaa ambk arek e sopo ngerti kecipratan rejeki,lhaa kaann ancene arek e pinter wayah e konco yaa ambk arek e sopo ngerti ciprat rejeki
106,1,give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov ,give away time raya ulang namjoon ulang adain give away photocard album lov
107,0,broimak video ini ribka tjiptaning penulis buku aku bangga jadi anak pki dia setuju pki harus tetap ada yang pasti d ,broimak video ribka tjiptaning tulis buku bangga anak pki tuju pki d
108,1,kak mau jugaa,kak jugaa
109,0,mau mandi diceramahin dulu sama nyonya besar intinya sama tobat kamu abis iniiap komandan ,mandi diceramahin nyonya besar inti tobat abis iniiap komandan
110,-1,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi ,suami nasihat forward gambar ni isteri forward
111,-1,aku tak faham betul lelaki tak suka perempuan pakai makeup ,tak faham lelaki tak suka perempuan pakai makeup
112,-1,wasyuu ,wasyuu
113,1,kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew ,singgah terakhirebesar harap kepada mengecew
114,1,aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit ,lahir jogja jogja juluk kota hati nyaman pantes langsung pake hati kalo nyaman dikit
115,1,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar ,guys jumpa ayat guna time korang putus asa sabar terbahagi iaitu sabar
116,0,ada penjual suruh tebuk lubang kecik ja tahan lebih 30 hari aku dh nk dekat 3 bulan x hb ,jual suruh tebuk lubang kecik ja tahan dh nk x hb
117,1,kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt ,fresh grad tgh cari kerja try amal zikir doa ni lepas amal ni pon dpt
118,-1,at least datang balik minta maaf okay lah daripada hilang dari radar tinggal aku tanpa pesan kau ingat senang ke nak stick to ,at least maaf okay hilang radar tinggal pesan senang nak stick to
119,-1,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka ,nak tidur still fikirkan orang sayang okay tak tu tidur lena perlu tak ka
120,0,kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat lagi aku ni anak jawa ,kengkawan suka cari nak translate bahasa jawa hahah ni anak jawa
121,1,kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun ,akhlak engga harga melindun
122,0,karena aku kepo 11 13 20,kepo
123,-1,aku betul betul nak mintak bantuan korangemua untuk cari haji loqman bin haji azli ni mugkin korang tak kenal tapi mugkin ,nak mintak bantu korangemua cari haji loqman bin haji azli ni mugkin korang tak kenal mugkin
124,-1,her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru ,her miss taman safari yo pasuruan males nganterno andrew kesana kalo taman safari tak undang ru
125,0,berarti aku bener dong jawab cowok dapet 2jt nggak nih ,bener cowok dapet jt nggak nih
126,0,tls followan ama aku yukk rep rt kita temenan,tls followan ama yukk rep rt temenan
127,-1,14 modal nomad 15 ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat,modal nomad ribu kotak popcorn modus mesum lancar tama aneh izin maksiat
128,-1,terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yg menyakitkan ,allah kasih sakit
129,-1,back then in school cikgu semua macam eh jangan bercinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i ,back then in school cikgu eh cinta kat uni handsome handsome jumpa now i
130,-1,masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis ,tak kenal tertawa tangis
131,-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,tak sungguh nak jaga je henti pura jaga paksa tak perl
132,-1,iya hubungin aku aja ya butuh dosa berapa banyak lagi wkwk,hubungin butuh dosa wkwk
133,1,buat dong aku kan juga istrinya daniel ,istri daniel
134,-1,kalau mahal service bagus takpe ini streamyx aku kat rumah pun barai ,mahal service bagus takpe streamyx kat rumah barai
135,1,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit ,hihihihi look at the face lepas taknak bau ikan mandi namau nameow catsoftwit
136,-1,sejauh aku berjalan sampai dahlia baru perasan tertinggal labcoat kat dinamik sobss,jalan dahlia peras tinggal labcoat kat dinamik sobss
137,0,antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila bercakap ada content ive never thought y komuniti ki ,antra bebanyak pondan kt malaysia ni viviana ni y cakap content ive never thought y komuniti ki
138,0,lepas tengok movie onetwojaga teringat pulak time intern dulu kerja dengan contractor sebagai quantityurvey juruuk ,lepas tengok movie onetwojaga pulak time intern kerja contractor quantityurvey juruuk
139,0,ada yang bertahan karena sayang ada juga karena terpaksa menurut kamu kapel kamu yang mana ,tahan sayang paksa kapel
140,1,guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa ,guys today nak rekomen kat korang movie best some of you maybe blm tengok movie tu tak pa
141,-1,sudah waktunya aku mulai menjalani hidupku sendiri mello death note ,jalan hidup mello death note
142,0,so aku pergi klinik sebab muntah tengok carta organisasi dia buatkan aku nak tergelak apa ni wei ,so pergi klinik muntah tengok carta organisasi buat nak gelak ni wei
143,-1,nampak la org lain semua dp gambar kawen dengan husband aku je dp gambar ambik sendiri ,nampak la org dp gambar kawen husband je dp gambar ambik
144,0,ya allah pengen ngakak goler2 aku sama trit iniiii ,allah ngakak goler trit iniiii
145,1,tolong la harini je dah banyak sangat ketawa krem perut aku yall,tolong la harini je dah ketawa krem perut yall
146,-1,i dont know lah nak kata macam mana sekarangebab aku sorang yang rasa sakit so orang lain dont judge me,i dont know nak sekarangebab sorang sakit so orang dont judge me
147,-1,mu gemes banget adminnya aku ga jadi marah ,mu gemes adminnya ga marah
148,0,pastu kan perangai dia still babi lagi nampak sangat taknak aku kahwin biasa biasa ,pastu perangai still babi nampak taknak kahwin
149,0,siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s ,siang happy friday sholat lupa habis giat latih bareng team j s
150,0,kawan aku bagi tips dietebab masa cuti dia just makan nie utk diet and bila naik sem hari tu dia dah kurus giler ka ,kawan tips dietebab cuti just makan nie utk diet and sem tu dah kurus giler ka
151,1,gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml,gt tuhan yesus ganti frustasi hati damai sejahtera mbml
152,1,aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo ,doa lelaki kerja cari duit pasang kesihatan murah rezekiemo
153,-1,bisaan aja kamu naruto padahal emang pengen nyium tp mukaku yg disalahin gt lt ,bisa naruto nyium tp muka disalahin gt
154,-1,keluar airmata jantan aku baca ,airmata jantan baca
155,-1,siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p ,first impression niumpah sombong gila orang cakap sombong p
156,0,aku tadi nge rt wah wah wah,nge rt
157,-1,wah pas nonton berita ada yang dilamar pas wisuda jadi ingin aku tuh tapi yang nak melamar pon siape ,nonton berita lamar wisuda tuh nak lamar pon siape
158,0,sebenarnya takde ciri pun bila dah sayang someone tu dia gelap pun kita suka dia putih pun kita suka dia tak hensem pu ,takde dah sayang someone tu gelap suka putih suka tak hensem pu
159,1,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb ,temen temen jatinangor tolong beli jual bapak jual kain lap keset
160,0,antara ayat penipuan paling besar 1 jap tengah siap 2 otw 3 tak study pun 4 takda kredit lah 5 pakai duit ka ,ayat tipu besar jap otw tak study takda kredit pakai duit ka
161,0,izinkan aku mengupload ini ,izin mengupload
162,-1,aku merasa seperti aku tidak bisa melakukan apapun tanpa elfungmin ,apa elfungmin
163,-1,dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl ,instagram facebok twitter cantik takde la cantik bagitahu akuekarangiapa je nak upl
164,1,bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah ,syukur hingga lupa kurang tulisanirin jumatberkah
165,1,segitu kangennya ya mba sama aku ,kangen
166,0,kamu jangan lupa sholat dzuhurnya,lupa sholat dzuhurnya
167,0,life skang aku simplekan je aku tak suka aku tak layan itu je penat nk jaga hati org je pikir diri sendiri dlu ,life skang simplekan je tak suka tak layan je penat nk jaga hati org je pikir dlu
168,-1,bayangkan kalau posisi kamu lg di bwah dan orng lain melihat kita rendah karna materi yang kita punya,bayang posisi lg bwah orng rendah karna materi
169,1,hidup ini adalah pilihan yang harus kamu pilih,hidup pilih pilih
170,0,tiap salam buat suami aku exo di korea paaak ,salam suami exo korea paaak
171,-1,laa haha sorry2 akualah paham ,laa haha sorry akua paham
172,-1,receeehh ah kamu,receeehh ah
173,0,masalah pinjam lighter bang pinjam lighter jap ok light kena berdiri jap sedup satu pam kene hembus dlu sebab nak ucap ,pinjam lighter bang pinjam lighter jap ok light kena diri jap dup pam kene hembus dlu nak
174,-1,sekurang kurang nya rm100 kalau budak yang miskin kau nk suruh mcm mana minta sedekah ke lepastu bila tak cukup kau ,kurang rm budak miskin nk suruh mcm sedekah lepastu tak
175,0,tidur tak buka kipas or aircond bcs takut the kitten sejuk nanti bangun approximately every 2 hours just sebab dia nangis l ,tidur tak buka kipas or aircond bcs takut the kitten sejuk bangun approximately every hours just nangis l
176,1,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah ,if keli tu femes apantah kahkahkah
177,-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,hati kecewa sedih sorang je orang tak
178,-1,mau beli barang di shupe harganya sepuluh ribu tp ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak be ,beli barang shupe harga puluh ribu tp ongkirnya ribu kesel deh wheres the justice tho kayak be
179,-1,aku masih butuh selang waktu untuk mengerjakan visualnya biar mampus kalian menunggu sampai 3 kali rasain p,butuh selang visual biar mampus tunggu rasain p
180,-1,kok gitu sama aku,
181,-1,kukira aku introvert ternyata juga pedopil ,kira introvert pedopil
182,0,7 00 p m itu pagi apa malam ya pagiudah pernah coba trik pancing memancing kayak gitu b ,p m pagi malam pagiudah coba trik pancing pancing kayak b
183,1,sayang lagi sakit jadi aku harus sentiasa ada buat sayangku ,sayang sakit sentiasa sayang
184,-1,omg kau jgn buat aku g kfc ppagi cmni ,omg jgn g kfc ppagi cmni
185,0,mamak ni nak try aku ke apa ,mamak ni nak try
186,-1,ada yg mau serius tapi aku nya masih raguuu gmn donggg yaudah jangan dikasih harapan dianya kasiaan ,raguuu gmn donggg yaudah kasih harap dia kasiaan
187,0,tomorrow i will date with yesterday's you movie aku download sebab katanya sedih k start movie sampai ending duk fikir t ,tomorrow i will date with yesterdays you movie download sedih k start movie ending duk fikir t
188,1,i liked a video aku tanya pak jokowi pakai bahasa jawa ,i liked a video jokowi pakai bahasa jawa
189,-1,kalau jadi atasan gausah sombong2 deh menindas karyawan apa kamu langsung jadi milyuner melarang orang ga masuk karena ada ,atas gausah sombong deh tindas karyawan langsung milyuner larang orang ga masuk
190,0,aku ngatau nih bang definisi berhasil apa nga ,ngatau nih bang definisi hasil nga
191,0,sama aku kapan ,
192,0,aku main ww deg degan mulu wkwkwk id kamu apaa ,main ww mulu wkwkwk id apaa
193,-1,kayak woojin kesringan barengih dasar anak kembar ,kayak woojin kesringan barengih dasar anak kembar
194,1,okaay nggapapaa aku minta doyoung ajaa makasih yaa ,okaay nggapapaa doyoung ajaa yaa
195,-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,tak sungguh nak jaga je henti pura jaga paksa tak perl
196,0,aku jual ,jual
197,-1,dulu waktu kecil aku bercita cita ingin menjadi seorang pengkhianat ,cita cita khianat
198,0,waw beliin buat aku dong,waw beliin
199,1,aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekahkan al fat ,terima nikah kahwin bacaanurah al fatihah dear future wife kahwin sedekah al fat
200,1,le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang,le makan samyang yuk udh ga makan samyang udh ga sayang
201,-1,tu lah dulu aku paling malas nk kutip sebab malu kot mintak duit kt orang,tu malas nk kutip malu kot mintak duit kt orang
202,-1,rama gak usah ganggu aku sama karya ya tolong ,rama gak ganggu karya tolong
203,-1,jangan begadang jangan minum2an soda jangan kau pilih dia pilihlah aku yang mampu mencintamu lebih dari dia ,begadang minum soda pilih pilih cinta
204,1,pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh,pegi kedai bawak adik teman pastu uncle tu ni anak you muka hahaha muka orang dah kawin doh
205,0,amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara ,amin ustazah pening kepala me takpelah awak tulis je awak laratampai suruh hantar buku tara
206,0,aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab ,tak time gaduh je english automatic power time exam kena gaduh before
